,content,at,score
70,Game is crashing in phone Samsung Galaxy -A260G,2021-12-31 04:49:40,1
71,I can't load my town hall 8,2021-01-14 08:23:07,1
72,Love it they should make it to the point where you can upgrade builders to have them build stuff faster,2022-02-17 10:13:24,5
73,Niec,2022-02-16 16:11:58,5
74,I feel like Clash of Clans is a really fun game but i think that they should become more laptop friendly,2021-08-22 23:04:51,4
75,Used to load fine but now forget it,2021-04-13 02:20:48,1
76,Good boy Sakhar boy,2021-12-03 12:01:45,4
77,Im playing this game since 2016 and I really love it. I like the improvements of the buildings and other updates. I suggest that you should decrease the upgrade time of higher level. THANK YOU,2022-02-17 05:52:58,5
78,I love this app because i delete my ml because of this app,2022-01-29 11:32:53,5
79,Its nice,2022-01-20 14:26:55,5
80,Good,2021-11-21 14:17:06,4
81,👌 😎 I'll,2021-03-10 01:37:25,1
82,My game is not open. It stuck on loading screen and automatic get closed,2022-01-09 06:16:06,3
83,Game is good but the application update is the worst. When we open the game it will show new update is avilable without update we canot play. When we open play store to update the app the update is not avilable.....,2021-09-27 18:33:29,1
84,Sir Mara Coc open he nahi Ho raha,2022-02-16 15:09:37,5
85,why I can't donet high level troops to my clanmates?,2021-04-13 01:20:51,1
86,Rightgiod loke,2022-03-03 12:40:07,5
87,Nice game.,2022-01-25 12:50:22,5
88,This game is quite good but I can't get my level 13 id back I've signed in with supercell but in the recovery process It is not sending the code to given Gmail Why is this even happening I've spend lot of time in it but now 😶,2021-05-27 17:38:07,1
89,Very good,2022-02-28 17:42:32,5
90,I am a new player I want TH 14,2021-04-12 11:45:25,1
91,So very amazing,2022-02-06 07:15:00,5
92,Good,2021-06-27 06:37:52,4
93,I really love this game..there's always been something new to build for..the game is great..,2021-07-05 21:17:22,4
94,Great game,2021-09-27 13:01:14,4
95,Suck your mum,2021-08-10 05:57:52,1
96,"Good game, I've been playing it for 6 years but it would be even better if the upgrade time wasn't so long and the gems are just to expensive! Other than that i love the game",2020-12-17 17:42:30,3
97,Nic game,2022-02-18 04:30:07,5
98,nice game,2022-02-17 00:02:15,5
99,nice,2022-03-08 15:56:34,5
100,Clash of cheat,2021-09-14 02:48:21,1
101,its awesome playing from last 13 years,2022-02-17 05:41:13,5
102,Nice game,2022-03-05 17:22:30,5
103,Just awsumegg,2022-01-21 16:46:51,4
104,Keeps telling me I need to update but there is no update when I go in the playstore????,2022-02-16 22:13:52,2
105,"My coc is not opening after the update but I am playing for over 3years ,pls fix it,",2021-06-17 07:15:51,4
106,This is a nice game.,2021-03-23 11:27:40,4
107,My love 😍😍,2022-02-26 08:13:21,5
108,Bigla n ban un isang acct koh,2021-10-24 04:49:56,3
109,This game is very nice.i love this game. This game grafix is op.,2022-03-03 11:23:11,5
110,Good game,2021-09-04 14:47:17,1
111,Excellent,2022-03-13 12:12:36,5
112,Really nice but I still hate upgrade time and cost on troops and defences 🥰😁,2022-01-21 19:16:36,5
113,Good game,2022-03-01 11:24:05,5
114,💩,2022-02-17 07:38:51,1
115,very boring very unpleasant experience you banned my effing account for no reason,2021-11-11 23:12:23,1
116,It is nice game,2022-01-21 05:52:57,5
117,This is so fun and thnxx to make this,2022-01-21 06:05:51,5
118,Best strategic game to play,2022-03-03 08:12:30,4
119,When we will see this game as a play to earn game ?,2022-02-16 13:44:47,4
120,"27,03,2020 my fast Review 16,02,2022 Good Coc Game,🦾",2022-02-16 17:41:00,5
121,"Very good game, never any issues I would just like to ask for global chat back again :)",2021-06-17 10:56:11,4
122,So i enjoy the game but why is it asking for a update,2021-06-16 03:58:21,1
123,Kuzappammilla,2021-03-13 07:05:34,2
124,Please give me some gems i have lost about 250 gems in a wrong click plz plz.........give them back,2022-02-16 15:11:18,5
125,There is option for adding friends but we can't chat with them so what is the use of it Can any one tell me ? And there should be option for voice chat between clanmates.,2021-05-03 14:37:25,3
126,Op,2022-01-09 03:12:11,4
127,R K boss,2021-06-15 10:30:24,4
128,It's a good game but please enable the laboratory to cancel it's research on leveling troops because their are times I would mistakenly pick the wrong troop to level up.,2021-12-03 04:58:12,3
129,I'm NOT very happy with this at all i just download it because i want to continue my last game but after i install it it say 'connection lost' try again like what i have a good internet and it's 4G but it keep saying 'connection lost' very bad performance i even clear the data and reinstall the game but the result are still the same. This is just poor performance.,2021-04-19 11:37:10,1
130,"It is not opening on my phone 😞 i re download , clear data , everything i can do😞 what to do i don't know 😴😭 Can anyone help me please 🥺 I am waiting",2021-09-20 15:49:04,1
131,High,2022-02-17 07:45:15,5
132,Excellent game,2022-03-04 14:07:10,5
133,Good,2022-02-16 14:22:40,3
134,💖,2021-08-04 03:53:07,2
135,"Clash of clan one day I will play coc and I am play this game 4,5 month and I will delete this game because my phone was update and second day i will download coc but game was delete my ID of coc this game delete not 1 more 2,3 times delete my ID this game",2021-01-07 08:38:40,1
136,Best game,2022-02-20 06:19:51,5
137,Op,2022-03-10 10:12:11,4
138,Recently i can't get my town hall opponent's or lower than mine i was mostly getting town hall lvl 9 and 10(mine is townhall lvl8)now it is very very very very hard to push my trophies (now i am gold1)but townhall lvl 9 or higher and my level is 56 and 165 or 100 above level players are attacking on my village i was getting sooooo much angry on that time plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzsolve this problem 😭😭😭😭😭😭🤯🤯,2020-12-11 15:13:17,3
139,"Yeah the game is interesting,a pacage of strategy and patience!well, its an addictive game beware! Edit:AFTER PLAYING FROM 2014-2016 I WAS TH12 MAX NOW MY ID WONT OPEN BECAUSE SOMEONE HACKED MY GAME.Even having my Gmail account connected I cannot access my old ID.Someone created a supercell account and not my ID is someone else",2022-01-11 14:11:32,1
140,a fost o ciocnire,2022-02-16 16:59:44,5
141,I play game this is reaaly amazing but i rate 3 star because game can get auto back problem many many time therefor i wait for 5 to 6 min to open game and some time my phone auto matic swith off plese solve this problem.😔😔,2021-06-04 02:22:36,3
142,"Hay hay, Not Bad",2021-09-24 01:54:42,1
143,Time waste,2021-06-28 05:54:25,1
144,Good,2022-03-04 01:25:25,5
145,Op ❤️,2021-04-22 03:14:41,4
146,Please open my old account,2021-03-26 19:14:58,4
147,Update time time thoda Kam KR do,2021-10-01 14:31:34,3
148,Excellent,2022-02-15 09:46:09,5
149,just loved it 🙂,2021-02-17 01:57:02,4
150,With no doubt I consider this as one of the best game produced by SUPERCELL.,2022-02-04 10:04:10,5
151,Verry good game for all ages.,2022-03-02 18:00:19,5
152,It's good and it's F2P,2022-02-17 02:38:46,4
153,Its fun but i just wanna play it all night so i would give it a 5 star but i just wanna play all night,2021-04-13 01:06:09,4
154,Balik nyu global chat,2021-06-14 12:13:08,3
155,Good game,2022-02-02 08:23:31,5
156,Good,2021-06-15 10:16:08,2
157,This game is lag game in my phone the game is not started,2021-10-13 03:56:23,1
158,I am unable to use the any other barracks in cc troops for any attack plz solve my problem,2021-06-15 16:58:39,3
159,"Been clashing 6 years there no app out there that can keep you pushing on and destroying villages 💪its just a pity that those who give 1 star and complain about having recources stolen dont understand that this is the whole concept of the game which makes it so much fun( i think they should understand it before laying silly comments like i get bullied by stronger villages😂), i have accounts in final stages and in lower stages so i understand everything, you do not need money to progress !",2022-02-17 07:06:25,5
160,"THEY BANNED MY ACCOUNT FOR NO REASON WASTED OVER 100 $. I LITERALLY JUST MESSAGED SUPERCELLSUPPORT AND THEY BANNED ME. DONT RECCOMEND THIS , WASTE OF TIME IF THEY WILL JUST TAKE YOUR ACCOUNT AWAY FOR NO REASON .",2021-10-02 03:59:15,1
161,Add Pakistani Flag 🇵🇰🇵🇰,2021-06-18 13:16:56,4
162,Over all this is a good game for me...but i have some doubt..- heroes can jump over walls in my Village but in enemy base they can't..!🤔🤔🤨,2022-02-16 14:29:39,5
163,Wow happy amezing vest home,2021-02-12 05:56:05,4
164,Very amazing support,2021-03-24 16:15:21,4
165,Zaid,2022-02-23 20:34:59,5
166,"I am happy with the game but, because of the global chat that had gone I'm not happy because of the globle chat it comes easier to join a clan or make friends, talk all over the world",2021-01-05 01:34:29,3
167,This is the best game I have ever played 🥰,2021-12-22 13:36:26,1
168,"I should give this game a 0 star, UNFAIRNESS is within this game, I'm at Builder Hall 6, and then they will match me in a opponent which is higher than mine, they will match me in Builder Hall 8-9 which is extremely ufair, even in Town Hall attack, I'm at TH9, then they will match me in opponent which is TH9 Max or TH 10",2020-12-31 03:41:52,1
169,Good game,2020-12-14 13:51:06,3
170,It's one of the best game for me because it is siso enjoyable game; therefore to upgrade things is so INTEREST,2021-04-12 11:29:47,1
171,Nice game,2021-04-14 07:27:42,4
172,Lit game good for grinding,2021-07-18 03:02:15,4
173,"I play this on chromebook and I love this game very much but when I updated it recently for some reason it never loads up and just force quits and when I emailed the developers they weren't really straight to the point and then they just ignored me.Supercell,fix this please as many people have this problem too.",2021-09-01 10:23:10,3
174,Can you fix phone maps 2 games in falre A3 pls fix maps 2 not the othere mops the next ilands pls fix,2021-03-03 01:42:45,4
175,This game is super fun,2021-08-30 11:50:35,4
176,"Great Game and trust me the supercell id is really important, I didn't do it on my last account which was Town Hall level 8 and when I got a new phone I had to restart but I managed to get back and now I'm on Town Hall level 10! I love the game, and it's so addictive I can't stop playing!!!!!",2022-01-19 21:42:29,5
177,Cant open after update,2021-09-28 04:05:38,1
178,I lost my account I need to get my account name poke town he'll 7 I don't remember clan name Pls help me get my account I,2022-02-27 04:47:58,1
179,"Hello supercell, I like the game...but reason I gave 4 star is i didn't get my gems on purchase...i lost the money and didn't get the gems...#QGLG029VG here's the ID",2021-10-28 07:37:36,4
180,this game will be busy again if the global chat is returned you delete the global chat just because of the report of a crazy child who got carried away,2021-10-19 03:53:09,1
181,Nice game,2022-02-15 07:39:34,5
182,Terlalu sering update,2021-09-28 05:43:41,2
183,"Great game,need strategy to win the game and war game clan.need also cooperation of all team members,elder and the leader to win each Battle. Become more exciting this game every time have new adjustment and new troops are added... I always play this game when I have spare time specially when my day off .. I can't wait to be the strongest of all clan and no one can beat me and everyone to be afriade to attack my clan base.Please continued to up greade this game to be come more exciting to play.",2022-02-16 16:17:36,5
184,I love it,2022-02-17 02:30:06,5
185,Nic,2022-02-03 09:46:58,4
186,Good for law device,2021-11-01 03:24:48,1
187,নাইচ গেম,2022-02-16 20:43:06,1
188,I have had a glitch for a while now where it keeps kicking me out so if you would fix that it would be nice,2021-06-27 05:46:04,4
189,Nice game,2021-12-23 02:41:26,2
190,Queens kinda fit ngl,2022-02-17 10:43:50,5
191,Its a fun game,2022-03-06 09:53:30,4
192,It open so slow .. why coc ha ..Fix it fast,2021-07-26 16:01:03,1
193,This is very worst game it's not good,2021-09-04 08:14:10,1
194,It's a enjoyable game for me...🤩,2022-02-25 17:13:58,5
195,Why i cannot update my clash of clan? There is no update button.. Only play button and unstall,2021-06-15 10:57:55,1
196,"Time sink, money grab. After a month or two the game just becomes sands through the hourglass as you wait for cooldowns and mines. No action or creativity as everything is posted online in tedious detail. 0 fun for me but it is free so sone might like.",2021-11-01 14:16:27,2
197,Super game,2022-03-06 06:29:24,5
198,Buen juego,2022-02-14 01:36:35,4
199,Super,2022-01-24 10:54:07,5
200,This game was epic on its own time now just downloaded to feel the nostalgia,2021-02-25 13:52:36,4
201,I'm enjoying this game absolutely amazing,2022-03-01 21:51:29,5
202,"The troops n heros are tough as hell when you max out , love it !!!!",2021-10-19 03:29:03,4
203,Nice game,2021-12-14 11:32:35,1
204,excited,2022-03-13 05:01:53,5
205,Too slow upgrade. Too long time to wait,2021-05-25 15:20:07,4
206,"4/8/21 10:11 p.m. online class ki maths ka test hai kal... Aur Kab dekhra tu future Soumya Anesthesiologist ban gaya? I have a lot of things to tell but yeah I can't, it pains so much 😭😭😭My heart pains but Felicia is with me for now and Naruto going on....so that's it bruh.... Byee",2021-09-04 16:43:30,1
207,So good Jjj,2022-02-27 14:34:47,5
208,Best,2021-04-02 12:30:55,4
209,Nice,2022-02-16 14:21:50,1
210,it kept crashing,2022-01-08 01:07:56,3
211,Please fix the bug Game didn't open black screen issue,2020-12-24 14:53:19,2
212,Updated the game. Now doesnt let me play. 😢,2021-06-15 15:51:37,1
213,Still learning,2021-05-15 06:38:31,4
214,I can say that this game was very beautiful. It relieves my stress.,2022-03-03 07:24:42,5
215,Tatti game,2021-04-11 07:12:17,1
216,So i installed the game 3 times but it refused to open. I coulnt play the game. After loading it woud atomatically minimize and the actual game tab wouldnt appear,2021-01-13 14:21:33,1
217,Nice game,2022-02-17 11:05:06,5
218,Add global chat back please.,2021-04-12 17:04:03,4
219,This good game,2021-02-17 14:52:18,4
220,Nice game,2022-02-18 02:05:30,5
221,Helppull,2022-02-24 04:56:28,5
222,Good game to android,2021-08-11 04:15:01,3
223,I have fun,2022-02-17 03:34:12,5
224,One thing I really wish they would add is messaging it would be more fun to message someone a nice taunt every once in a while as well as make real friends instead of just waiting for ppl to join your clan,2021-06-15 23:47:42,1
225,Best game I have played in my life That all ^_^ Thank you.,2022-03-08 16:19:01,5
226,Wala ja jowa,2021-06-04 10:43:37,3
227,Where is log in without supercell id ?,2022-02-25 10:31:56,5
228,Super game,2022-02-19 06:32:30,5
229,"Game is not loading since two hours, is anyone else facing same problem??",2021-05-25 08:50:30,1
230,HOG RIDAAAA,2022-03-07 13:50:38,5
231,Theres a bug when you upgrade th14 it will exit already,2021-06-29 10:49:06,1
232,Best strategy game,2020-12-24 03:34:01,4
233,The update isn't working correctly. I update and go to play. It just loops back to an update again.,2021-06-15 11:39:23,3
234,Nice one,2021-12-19 09:42:36,4
235,Good,2021-09-19 01:51:39,1
236,Update always so money comes all the way🖕🖕,2021-10-20 01:40:25,3
237,OP game,2022-03-15 16:22:21,5
238,Nice but more time consuming,2021-10-06 18:11:52,3
239,This game is good..!,2021-09-15 07:10:36,1
240,Anyone else having problems opening the app with the new update? It isn't allowing me to update and therefore won't open the app. Same issue this update,2022-02-16 18:54:19,4
241,It's good and I really enjoyed this game.,2022-02-16 13:26:31,4
242,Nice game,2022-02-18 03:10:19,5
243,Bakar ha App,2021-06-15 16:09:15,1
244,good game so long been 4 years,2021-01-20 19:52:00,4
245,I will give you 5 stars if you bring back global chat,2021-04-12 11:00:12,4
246,This game is just fire 🔥❤️,2022-02-16 14:27:57,5
247,Att,2021-06-16 13:12:52,3
248,This game was excellent before...but without global chat it's boring 2much...,2021-03-08 19:00:21,1
249,Awesome game and time passing with craziness,2021-06-15 16:17:50,4
250,Good,2021-09-30 06:40:57,3
251,I like you,2021-03-10 10:18:40,4
252,Gooodd,2022-02-25 14:20:18,5
253,You ban my account... Still o didn't giveme back,2022-02-16 15:44:01,1
254,Ita an exciting game Every time it says Your village has been raided by 淺十畈毌毌田支,2022-02-17 04:21:39,5
255,great for passing time,2022-02-19 18:18:47,5
256,In the middlle of raid or war the game just got vanished . Pls help,2021-11-24 12:43:16,1
257,Happy,2022-02-17 01:29:35,5
258,Truely addictive.,2021-03-23 19:13:11,4
259,Hog rider is not powerful nowadays ... that's why I'm giving you two stars... i think you should take care of him and his diet..,2022-02-24 06:56:46,2
260,Nc,2021-07-05 03:31:28,4
261,"I play this app before,but,first love no forget",2022-01-20 14:02:09,5
262,Nice game,2021-04-05 07:54:48,3
263,"when you upgrade stuff it takes too long about 1 week, 2 weeks, please decrease it",2022-02-18 09:30:55,2
264,nerf miner,2022-01-24 20:46:50,5
265,Very nice game,2022-02-16 16:58:50,4
266,It's boring now,2021-09-28 00:55:34,1
267,this is a good game.but there is a promlem.we can't change the clan name.please add name change option in this game.,2021-12-25 12:21:52,3
268,I like this game,2022-02-22 16:00:52,5
269,All time favourite..❤️🔥🌼,2022-02-16 17:20:07,5
270,hdje kaki ez,2022-02-17 09:40:33,1
271,Plss comeback the global chat,2021-08-27 08:45:45,4
272,So much wast money dont play this game If you not have money dont play this game It needs much money,2021-01-04 09:44:36,1
273,"i have experience an issue, Everytime i enter the game it take so long like it freeze multiple times like i cant even play pls fix this Thank you.",2021-10-17 10:55:39,3
274,Nyc,2021-03-26 10:09:40,3
275,ههههههههههههههههه,2021-09-03 16:14:29,1
276,Ok,2022-02-16 13:57:26,5
277,Best game but it is very boring if we get further in the game coz farming became a necessity and it gets boring with time and by gold pass if you are a free to play player YOU WILL NEVER GET MAXXED!!!! 😭😭😭😭,2021-06-15 09:52:38,4
278,Thank you im going to delete this game,2021-06-16 01:41:27,2
279,Its very slow game but good,2022-01-22 11:05:15,5
280,"Nothing to suggest!!! This game is sooo perfect at its own graphics , animation",2022-02-25 04:27:39,5
281,Not fare the troops in TH5,2022-03-08 15:53:51,1
282,coc,2022-03-11 17:30:14,5
283,Bad game,2021-06-20 08:50:41,1
284,Had to be fun but not much anymore the upgrade time is too much just make us keep waiting waiting and waiting,2020-12-11 04:54:55,2
285,Best startegic game,2022-03-08 03:51:49,5
286,Cool,2020-12-16 23:03:04,4
287,Unbeliveable game,2021-04-16 09:12:58,3
288,Good game but network problem,2022-03-01 14:22:38,3
289,Please I can't locate my old account so help me. Please,2022-02-17 19:47:47,3
290,Nothing much good,2022-03-13 11:15:02,1
291,👍🏻,2021-07-09 11:41:34,4
292,It is fun to play and cool graphics,2021-06-10 13:07:27,4
293,This game is awesome. Great for all ages👍🏻,2022-02-21 15:39:13,4
294,Nice game,2021-06-15 16:41:54,4
295,Good at the start gets kinda boring after lime th10 tho everything takes so long but other than that its a really good game 🎮 👌 👏,2022-02-17 02:54:12,5
296,Updated system its so bad,2022-02-21 18:50:13,1
297,Its just for fun,2021-06-15 13:18:27,2
298,great,2022-03-01 01:56:23,5
299,Good,2021-03-28 08:39:07,4
300,It was Good,2022-03-02 03:25:20,4
301,Happy and more fun,2022-03-03 11:26:12,4
302,"Revenge doesn't work, everyone always has a shield on. It's so annoying",2021-06-18 23:41:31,1
303,Showing black screen from last update please help me,2020-12-27 13:09:22,1
304,Jonni sing,2022-03-02 12:51:12,1
305,Nc,2022-02-18 04:34:30,2
306,This game is really amazing. I play this game with my friends and enjoy it.,2022-02-22 02:41:37,4
307,No bad I like this game,2022-02-20 03:59:48,5
308,Why does it kick me at random especially during raids for no reason and I losr trophies it is very irritating and since when the hell is supercell so sensitive like I understand there are kids here but sometimes adults need to say things,2021-05-29 23:47:47,3
309,Update not available,2021-09-27 11:38:22,1
310,Good,2022-02-16 14:51:04,5
311,I suggest everybody to don't play this game. It contains many bugs and doesn't starts. I can hear only background sound. This may hang up your phone.,2021-08-05 11:51:44,1
312,This is most interesting game and the best game,2022-01-31 14:36:37,5
313,GG op PlAYiNG tHiS At th9😂😂😂😂🎧🎧🎧💕💕💕💕🤪🤪🤪🤪😜😜😜😜😜😜,2022-01-29 15:10:01,5
314,Nice,2021-06-16 08:48:17,4
315,COC is the my favoraid games,2022-01-23 16:57:02,5
316,When i play coc then a wifi like this come my network also ok then what is this any glitch,2021-07-07 03:43:40,3
317,No se,2021-06-03 18:15:10,4
318,Very good,2022-02-16 14:16:52,5
319,Its my first game is so cool,2022-03-01 14:12:10,5
320,I'm back coc I'm sorry 😩😢😭,2021-04-14 16:03:33,1
321,Needs improvement,2021-08-19 18:58:43,3
322,"I really enjoy to play this game,luv it..",2021-12-16 01:54:39,4
323,😎,2022-02-19 09:03:09,5
324,"Error,rod3 Eyal 4D RYE ANTEBELLUM D",2022-03-07 12:39:17,5
325,Please bring back the global chat..it's hard to find a member of there is no global chat.please please.,2021-10-24 23:24:32,3
326,Nice games,2021-01-01 15:29:23,1
327,Good and awsome game,2022-02-16 13:27:35,5
328,It's fun,2022-03-13 12:50:36,5
329,It was not starting in my phone,2021-04-14 15:56:22,1
330,nice,2022-02-16 17:33:24,5
331,Awesome,2022-02-26 10:09:02,5
332,Simple game just cost to much,2021-03-14 07:33:42,3
333,"Hi,i have a request please add massage copy feature so we can copy clanmates massages and can translate it by translator. The game is good. Thank u.",2021-01-18 20:05:29,4
334,Excellent game,2022-02-17 08:59:55,5
335,Hio,2021-07-28 13:08:10,1
336,Without any warning account is blocked. How someone remember exact details from last 5 years.,2021-05-27 07:32:54,1
337,Good,2021-08-04 14:19:28,1
338,"This game is basically pay to win and the roaster is to over powered and double cannon too, also im getting matched with very skilled players and I done everything I can to be a good player and no luck, not only that but when I am in a war we get matched with max town hall 11.",2021-06-24 04:13:25,1
339,Verry good,2022-02-03 00:24:10,5
340,Bad game,2021-06-21 11:47:12,1
341,"Honestly love the game, the graphic are good, the troops are good and the game design are good, overall, its a great game to recommend to my friends, but i would make it 5 stars if you would read my suggestion. I really appreciate it if you guys could make the spell factory to be able to cancel researching, because currently you have to wait until the research is completed and if someone (me) accidentally researched the wrong thing, they'd have to wait for it to finish. Thanks again.",2021-12-15 05:03:01,4
342,Nostalgic,2022-02-16 13:20:59,5
343,1 star because there is no pakistani 🇵🇰 flag in the game,2022-01-09 07:22:05,1
344,I love the game b ut have bug,2021-08-26 06:36:58,4
345,Owsum,2022-02-17 00:52:39,4
346,Wag lang updating,2021-03-25 02:51:22,1
347,Ilike it since 2014,2022-02-16 13:46:54,5
348,I proud to be the supercell,2021-04-26 02:36:24,1
349,When I downloaded it I open it instantly and when the loading is almost finish it kicked me 😔😣😐😓☹️🙁,2021-09-22 14:31:11,1
350,The game is good,2021-10-21 08:38:28,4
351,Nice game,2022-01-15 07:50:12,1
352,We lit,2021-03-26 20:57:22,4
353,BEST Game,2021-06-15 09:26:36,3
354,Jack's,2022-02-16 14:19:08,5
355,I love it but after the updates it's keep crashing and don't start perfectly please fix it ✨,2021-10-14 08:48:45,4
356,Too good 😊😊,2022-02-22 08:31:14,5
357,"Unable to update to new version, option not available to update. Andriod user here.",2021-06-15 09:36:40,1
358,it shows to new version is available but if I open playstore Can't able to download a new version,2022-02-16 13:47:06,5
359,Noob,2022-02-20 09:26:12,5
360,It is very interesting,2022-02-14 15:45:21,5
361,"Everything got ""one-starred"" because of the clock tower nerf.",2022-02-25 11:59:56,5
362,Ok,2022-02-18 06:10:09,5
363,I Like this game verryverry super game and this game is not adit,2022-02-16 15:43:42,5
364,Every time i have a maintaince break i loose my village. And they kept saying update when i tried twice aleeady. Then the game keeps fading away,2021-12-25 22:32:51,2
365,Its very exciting,2022-02-17 11:30:55,5
366,Bad game received one star because whenever i try to add my second account it start lagging not responding,2021-08-15 11:56:13,1
367,This game is only amazing have played all games but this best,2022-03-04 09:59:25,5
368,Best game,2021-09-27 13:33:58,4
369,It used to be good but recently the app crashes 90% of the time.,2021-12-14 06:56:44,1
370,I love coc,2022-01-23 01:56:33,5
371,Keeps crashing when loading at the start of the game.,2021-07-26 16:59:57,1
372,Can't disconnect supercell id. What are you supercell doing.i wanted to change my supercell id but you guys won't let me. I will change my comment after i can change my id,2021-11-21 03:24:26,1
373,No bad,2020-12-24 08:26:41,4
374,Best game 🎮,2022-03-03 09:11:51,5
375,This is the best game you will ever play,2022-02-16 17:57:11,5
