wage,female
8.89,0
4.16,0
8.17,0
8.12,0
10.12,0
12.5,0
4.33,0
5.2,0
9.62,0
16.03,0
9.28,0
2.81,0
7.21,0
8,0
10.99,0
4.47,0
7.07,0
1.66,0
7.93,0
5.23,0
7.96,0
7.03,0
3.75,0
5.29,0
4.46,0
7.96,0
5.45,0
6.87,0
10.3,0
8.01,0
6.25,0
7.96,0
3.93,0
7.75,0
4.3,0
4.9,0
5.56,0
5.73,0
5.7,0
4.57,0
4.15,0
4.71,0
7.21,0
7.04,0
1.48,0
3.37,1
9.62,0
3.75,0
7.14,0
6.99,0
8.46,0
4.76,0
3.9,1
5.77,0
8.74,0
6.56,0
4.24,0
4.09,0
20.99,0
7.69,0
4.58,0
6.49,0
12.82,0
9.62,0
8.89,0
10.58,0
7.21,0
1.65,0
10.58,0
3.04,0
4.55,0
7.69,0
3,0
12.02,0
5.99,0
8.94,0
4,0
1.98,0
1.27,1
5.57,0
7.36,0
3.08,0
9.64,0
5.09,0
10.12,0
9.62,0
5.77,0
8.32,0
5.73,0
5.73,0
7.21,0
8.78,0
7.96,0
9.62,0
7.45,0
18.46,0
8.85,0
8,0
5.73,0
10.61,0
6.84,0
7.78,0
4.21,0
10.12,0
5.56,0
5.77,0
3.85,0
4.33,0
4.09,1
7.69,0
6.98,0
5.69,1
1.2,1
7.48,0
3.13,1
5.61,0
3.27,1
6.25,0
7.69,0
4,1
4.66,1
3.82,0
5.24,0
5.13,1
3.37,1
6.41,1
4.81,1
5.61,0
7.97,0
3.75,1
5.15,1
5.77,0
4.94,0
3.75,0
1.98,0
2.52,1
2.93,1
5.09,0
2.4,0
4.87,0
6.59,0
1.2,1
3.33,1
1.96,1
2.73,0
2.63,1
3.75,0
3.08,1
4.27,0
4.5,0
5.53,0
4.09,0
4.55,0
18.74,0
4.12,0
5.77,0
4.81,0
5.77,0
4.81,1
8.65,0
1.92,1
5.93,0
6.01,0
3.35,0
6.01,0
2.96,0
10.82,0
4.81,0
8.79,0
11.6,0
4.81,0
3.75,0
5.29,0
6.5,0
5.82,0
1.79,0
4.28,0
1.98,1
2.31,1
3.5,1
4.37,1
2.26,1
3.75,1
3.75,1
2.64,1
2.26,1
1.83,1
2.88,1
1.98,1
1.98,1
1.98,1
3.37,1
1.98,1
1.92,1
3.37,1
3.75,0
3.75,1
6.59,0
3.75,0
7.96,0
3.75,0
6.61,0
8.65,0
5.02,0
11.54,0
5.9,0
3.75,0
8.7,0
21.54,0
3.27,1
3.3,1
5.49,0
2.4,1
4.09,0
1.98,0
7.21,0
8.5,0
1.98,1
7.18,0
4.81,0
5.24,0
9.13,0
3.75,1
7.69,0
8.6,0
5.29,0
2.4,0
3.21,0
6.67,1
3.85,0
8.49,0
7.21,0
3.33,0
4.27,1
2.88,0
4.09,0
2.75,1
4.12,1
9.62,0
5.53,0
4.01,1
3.41,0
6.92,0
3.75,1
7.96,0
3.75,1
4.28,1
2.31,0
3.8,1
4.09,0
3.85,1
3.75,1
3,0
3.96,0
8.55,0
3.75,0
6,0
4.81,0
2.5,0
4.32,1
1.27,0
5.77,1
4.2,0
13.74,0
2.56,0
5.13,0
7.21,0
